Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FSPSLibrary\FSPSLibrary.csproj,File,FSPSLibrary\FSPSLibrary.csproj,,,,,,,,Current target framework: net9.0-windows10.0.19041.0 Recommended target framework: net10.0-windows10.0.22000.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FSPSWinUI\FSPSWinUI.csproj,File,FSPSWinUI\FSPSWinUI.csproj,,,,,,,,Current target framework: net9.0-windows10.0.19041.0 Recommended target framework: net10.0-windows10.0.22000.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FSPSWinUI\FSPSWinUI.csproj,File,FSPSWinUI\obj\x64\Debug\net9.0-windows10.0.19041.0\win-x64\Views\ProfileDialog.g.i.cs,43,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///Views/ProfileDialog.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FSPSWinUI\FSPSWinUI.csproj,File,FSPSWinUI\obj\x64\Debug\net9.0-windows10.0.19041.0\win-x64\Views\ProfileDialog.g.i.cs,43,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///Views/ProfileDialog.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FSPSWinUI\FSPSWinUI.csproj,File,FSPSWinUI\obj\x64\Debug\net9.0-windows10.0.19041.0\win-x64\App.g.i.cs,50,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///App.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FSPSWinUI\FSPSWinUI.csproj,File,FSPSWinUI\obj\x64\Debug\net9.0-windows10.0.19041.0\win-x64\App.g.i.cs,50,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///App.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FSPSWinUI\FSPSWinUI.csproj,File,FSPSWinUI\obj\x64\Debug\net9.0-windows10.0.19041.0\win-x64\MainWindow.g.i.cs,43,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainWindow.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,FSPSWinUI\FSPSWinUI.csproj,File,FSPSWinUI\obj\x64\Debug\net9.0-windows10.0.19041.0\win-x64\MainWindow.g.i.cs,43,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainWindow.xaml"");"
